sortOrder,titulo,categorias,referencia,preco,id,
,Toalheiro Papel Toalha Interfolhado Aço Inox ESCOVADO - Linha Quadra,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI5488,,product-2169,
,Toalheiro Papel Toalha Interfolhado Aço Inox ESCOVADO - Linha Visium,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI13.05,,product-2165,
,Toalheiro Papel Toalha Interfolhado Aço Inox POLIDO - Linha Quadra,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI5470,,product-2175,
,Toalheiro Papel Toalha Interfolhado em Aço Inox POLIDO - Linha Visium,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI13.01,,product-403,
,Toalheiro para Papel Toalha Interfolhado em Aço Inox LINHA IDEAL,Dispensers / Papel Toalha Interfolhado / Dispenser Inox,CMI833,,product-417,
,Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai - Urban Glass Azul,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19286,,product-57,
,Dispenser Múltiplo para Papel Toalha Interfolhado ou Higiênico Cai Cai Urban C19284,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19284,,product-113,
,Dispenser Papel Toalha,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19533,,product-105,
,Dispenser para Papel Toalha Interfolhado Dark,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19530,,product-87,
,Dispenser para Papel Toalha Interfolhado ou Higienico Cai Cai - Urban Glass Verde,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMIC19285,,product-51,
,Toalheiro Papel Toalha Interfolhado - Linha AG+,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMI1070,,product-411,
,Toalheiro Papel Toalha Interfolhado - Linha Hígia,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMI6000,,product-2147,
,Toalheiro Papel Toalha Interfolhado Paper Pop - Linha POP,Dispensers / Papel Toalha Interfolhado / Dispenser Plástico,CMI2403 2501,,product-421,
,Saboneteira espuma 1000ml Inox ESCOVADO Linha Visium,Dispensers / Sabonete Espuma / Dispenser Inox,CMI5705,,product-2197,
,Saboneteira espuma 1000ml Inox POLIDO Linha Visium,Dispensers / Sabonete Espuma / Dispenser Inox,CMI5704,,product-2199,
,Saboneteira Espuma 900ml com sensor Inox ESCOVADO Linha Noble,Dispensers / Sabonete Espuma / Dispenser Inox,CMI1059,,product-373,
,Saboneteira 800ml Espuma - Linha Hígia,Dispensers / Sabonete Espuma / Dispenser Plástico,CMI5799,,product-2163,
,Saboneteira 1000ml Inox ESCOVADO Linha Visium,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1345,,product-2167,
,Saboneteira 1000ml Inox POLIDO Linha Visium,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1010,,product-383,
,Saboneteira 500ml Inox ESCOVADO Linha Visium,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1344,,product-2149,
,Saboneteira 500ml Inox POLIDO Linha Visium,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1011,,product-1629,
,Saboneteira 800ml Inox ESCOVADO - Linha Noble,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1016,,product-1625,
,Saboneteira 800ml SLIM Inox ESCOVADO - Linha Noble,Dispensers / Sabonete Líquido / Dispenser Inox,CMI1060,,product-361,
,Dispenser para Sabonete Líquido 400ml Compacta Urban,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19302,,product-1523,
,Dispenser para Sabonete Líquido 400ml Cristal Infinity Midy Box,Dispensers / Sabonete Líquido / Dispenser Plástico,CMILICL400,,product-1631,
,Dispenser para Sabonete Líquido com Reservatório Dark,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19423C19120,,product-71,
,Dispenser Sabonete Líquido ou Álcool Gel C19428,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19428,,product-109,
,Reservatório Dispenser de Sabonete Líquido C19120,Dispensers / Sabonete Líquido / Dispenser Plástico,CMIC19120,,product-81,
,Saboneteira 700ml plástico automática com sensor,Dispensers / Sabonete Líquido / Dispenser Plástico,CMI12.07,,product-1627,
,Saboneteira 800ml para sabonete líquido - Linha AG+,Dispensers / Sabonete Líquido / Dispenser Plástico,CMI1102,,product-413,
,Saboneteira 800ml para sabonete líquido - Linha Hígia,Dispensers / Sabonete Líquido / Dispenser Plástico,CMI5800,,product-2145,
,Saboneteira Clear Reservatório Próprio 1000ml,Dispensers / Sabonete Líquido / Dispenser Plástico,CMILICL1000,,product-1375,
,Saboneteira Reservatório 400ml - Box Cloud,Dispensers / Sabonete Líquido / Dispenser Plástico,CMILISC400,,product-1719,
